group,label,major_group,minor_group,Speedup
Re10K-Tran,Baseline,Re10K,Tran,1.00
Re10K-Tran,+RMCF,Re10K,Tran,2.03
Re10K-Tran,+FSDR,Re10K,Tran,1.44
Re10K-Tran,+SAES,Re10K,Tran,1.33
Re10K-Tran,+RMCF+FSDR,Re10K,Tran,2.98
Re10K-Tran,+RMCF+SAES,Re10K,Tran,3.09
Re10K-Tran,+FSDR+SAES,Re10K,Tran,1.81
Re10K-Tran,+All (SCARF),Re10K,Tran,3.66
Re10K-MV,Baseline,Re10K,MV,1.00
Re10K-MV,+RMCF,Re10K,MV,1.83
Re10K-MV,+FSDR,Re10K,MV,1.34
Re10K-MV,+SAES,Re10K,MV,1.24
Re10K-MV,+RMCF+FSDR,Re10K,MV,2.46
Re10K-MV,+RMCF+SAES,Re10K,MV,2.42
Re10K-MV,+FSDR+SAES,Re10K,MV,1.56
Re10K-MV,+All (SCARF),Re10K,MV,2.76
Re10K-Depth,Baseline,Re10K,Depth,1.00
Re10K-Depth,+RMCF,Re10K,Depth,1.79
Re10K-Depth,+FSDR,Re10K,Depth,1.32
Re10K-Depth,+SAES,Re10K,Depth,1.26
Re10K-Depth,+RMCF+FSDR,Re10K,Depth,2.45
Re10K-Depth,+RMCF+SAES,Re10K,Depth,2.49
Re10K-Depth,+FSDR+SAES,Re10K,Depth,1.51
Re10K-Depth,+All (SCARF),Re10K,Depth,2.76
ACID-Tran,Baseline,ACID,Tran,1.00
ACID-Tran,+RMCF,ACID,Tran,2.08
ACID-Tran,+FSDR,ACID,Tran,1.47
ACID-Tran,+SAES,ACID,Tran,1.27
ACID-Tran,+RMCF+FSDR,ACID,Tran,3.40
ACID-Tran,+RMCF+SAES,ACID,Tran,2.95
ACID-Tran,+FSDR+SAES,ACID,Tran,1.70
ACID-Tran,+All (SCARF),ACID,Tran,3.65
ACID-MV,Baseline,ACID,MV,1.00
ACID-MV,+RMCF,ACID,MV,1.87
ACID-MV,+FSDR,ACID,MV,1.33
ACID-MV,+SAES,ACID,MV,1.21
ACID-MV,+RMCF+FSDR,ACID,MV,2.48
ACID-MV,+RMCF+SAES,ACID,MV,2.36
ACID-MV,+FSDR+SAES,ACID,MV,1.52
ACID-MV,+All (SCARF),ACID,MV,2.70
ACID-Depth,Baseline,ACID,Depth,1.00
ACID-Depth,+RMCF,ACID,Depth,1.81
ACID-Depth,+FSDR,ACID,Depth,1.34
ACID-Depth,+SAES,ACID,Depth,1.24
ACID-Depth,+RMCF+FSDR,ACID,Depth,2.61
ACID-Depth,+RMCF+SAES,ACID,Depth,2.48
ACID-Depth,+FSDR+SAES,ACID,Depth,1.47
ACID-Depth,+All (SCARF),ACID,Depth,2.76
DL3DV-Tran,Baseline,DL3DV,Tran,1.00
DL3DV-Tran,+RMCF,DL3DV,Tran,1.98
DL3DV-Tran,+FSDR,DL3DV,Tran,1.37
DL3DV-Tran,+SAES,DL3DV,Tran,1.29
DL3DV-Tran,+RMCF+FSDR,DL3DV,Tran,2.70
DL3DV-Tran,+RMCF+SAES,DL3DV,Tran,2.84
DL3DV-Tran,+FSDR+SAES,DL3DV,Tran,1.69
DL3DV-Tran,+All (SCARF),DL3DV,Tran,3.28
DL3DV-MV,Baseline,DL3DV,MV,1.00
DL3DV-MV,+RMCF,DL3DV,MV,1.80
DL3DV-MV,+FSDR,DL3DV,MV,1.30
DL3DV-MV,+SAES,DL3DV,MV,1.23
DL3DV-MV,+RMCF+FSDR,DL3DV,MV,2.34
DL3DV-MV,+RMCF+SAES,DL3DV,MV,2.36
DL3DV-MV,+FSDR+SAES,DL3DV,MV,1.47
DL3DV-MV,+All (SCARF),DL3DV,MV,2.54
DL3DV-Depth,Baseline,DL3DV,Depth,1.00
DL3DV-Depth,+RMCF,DL3DV,Depth,1.74
DL3DV-Depth,+FSDR,DL3DV,Depth,1.31
DL3DV-Depth,+SAES,DL3DV,Depth,1.21
DL3DV-Depth,+RMCF+FSDR,DL3DV,Depth,2.35
DL3DV-Depth,+RMCF+SAES,DL3DV,Depth,2.23
DL3DV-Depth,+FSDR+SAES,DL3DV,Depth,1.45
DL3DV-Depth,+All (SCARF),DL3DV,Depth,2.51
