dataset,model,platform,S1,S2,S3,S4
Re10K,Tran,SCARF Dataflow on Orin NX,0.492,0.305,0.107,0.096
Re10K,Tran,SCARF ASIC,0.183,0.119,0.059,0.061
Re10K,MV,SCARF Dataflow on Orin NX,0.366,0.372,0.167,0.095
Re10K,MV,SCARF ASIC,0.255,0.085,0.117,0.061
Re10K,Depth,SCARF Dataflow on Orin NX,0.259,0.345,0.293,0.103
Re10K,Depth,SCARF ASIC,0.228,0.056,0.128,0.068
ACID,Tran,SCARF Dataflow on Orin NX,0.329,0.452,0.115,0.104
ACID,Tran,SCARF ASIC,0.145,0.184,0.072,0.073
ACID,MV,SCARF Dataflow on Orin NX,0.356,0.344,0.203,0.097
ACID,MV,SCARF ASIC,0.243,0.071,0.136,0.060
ACID,Depth,SCARF Dataflow on Orin NX,0.254,0.329,0.312,0.105
ACID,Depth,SCARF ASIC,0.218,0.058,0.129,0.067
DL3DV,Tran,SCARF Dataflow on Orin NX,0.613,0.183,0.113,0.091
DL3DV,Tran,SCARF ASIC,0.219,0.075,0.059,0.054
DL3DV,MV,SCARF Dataflow on Orin NX,0.350,0.393,0.164,0.093
DL3DV,MV,SCARF ASIC,0.248,0.103,0.118,0.062
DL3DV,Depth,SCARF Dataflow on Orin NX,0.264,0.357,0.280,0.099
DL3DV,Depth,SCARF ASIC,0.233,0.066,0.129,0.068
